Word,Freq_Per_Mil,Log_Freq,Word_Syll
263,account,44.71,3.3581,2
264,accountability,0.47,1.3979,6
265,accountable,1.41,1.8633,4
266,accountancy,0.06,0.6021,4
267,accountant,6.18,2.4997,3
268,accountants,1.08,1.7482,3
269,accounted,3.02,2.1903,3
270,accounting,4.51,2.3636,3
271,accounts,10.47,2.7284,2
272,accoutrement,0.12,0.8451,4
273,accoutrements,0.12,0.8451,4
274,accreditation,0.18,1.0,5
275,accredited,0.31,1.2304,4
276,accrediting,0.02,0.301,4
277,accrual,0.04,0.4771,3
278,accrue,0.08,0.699,2
279,accrued,0.25,1.1461,2
280,accrues,0.02,0.301,2
281,accruing,0.04,0.4771,3
282,accumulate,0.57,1.4771,4
283,accumulated,0.76,1.6021,5
284,accumulates,0.22,1.0792,4
285,accumulating,0.35,1.2788,5
286,accumulation,0.25,1.1461,5
287,accumulations,0.02,0.301,5
288,accumulative,0.06,0.6021,5
289,accumulator,0.02,0.301,5
290,accuracy,1.49,1.8865,4
291,accurate,7.84,2.6031,3
292,accurately,1.14,1.7709,4
293,accusation,2.8,2.1584,4
294,accusations,3.0,2.1875,4
295,accusatory,0.06,0.6021,5
296,accuse,5.69,2.4639,2
297,accused,13.06,2.8241,2
298,accuser,0.29,1.2041,3
299,accusers,0.16,0.9542,3
300,accuses,0.61,1.5051,3
301,accusing,4.94,2.4031,3
302,accustom,0.12,0.8451,3
303,accustomed,2.92,2.1761,3
304,aced,0.76,1.6021,1
305,acerbic,0.08,0.699,3
306,aces,3.96,2.3075,2
307,acetaminophen,0.1,0.7782,6
308,acetate,0.12,0.8451,3
309,acetic,0.02,0.301,3
310,acetone,0.16,0.9542,3
311,acetylene,0.45,1.3802,4
312,ache,2.49,2.1072,1
313,ached,0.31,1.2304,1
314,aches,1.51,1.8921,1
315,achievable,0.04,0.4771,4
316,achieve,7.33,2.574,2
317,achieved,4.29,2.3424,2
318,achievement,3.49,2.2529,3
319,achievements,1.08,1.7482,3
320,achiever,0.24,1.1139,3
321,achieves,0.31,1.2304,2
322,achieving,0.73,1.5798,3
323,aching,2.06,2.0253,2
324,achingly,0.04,0.4771,3
325,achy,0.45,1.3802,2
326,acid,9.96,2.7067,2
327,acidic,0.22,1.0792,3
328,acidity,0.2,1.0414,4
329,acidosis,0.16,0.9542,4
330,acids,0.82,1.6335,2
331,acknowledge,6.14,2.4969,3
332,acknowledged,1.96,2.0043,3
333,acknowledgement,0.41,1.3424,4
334,acknowledgements,0.08,0.699,4
335,acknowledges,0.25,1.1461,4
336,acknowledging,0.71,1.5682,4
337,acknowledgment,0.51,1.4314,4
338,acne,0.9,1.6721,2
339,acolyte,0.14,0.9031,3
340,acolytes,0.12,0.8451,3
341,acorn,0.73,1.5798,2
342,acoustic,0.96,1.699,3
343,acoustical,0.12,0.8451,4
344,acoustically,0.02,0.301,4
345,acoustics,0.43,1.3617,3
346,acquaint,0.39,1.3222,2
347,acquaintance,5.35,2.4378,3
348,acquaintances,1.06,1.7404,4
349,acquaintanceship,0.08,0.699,4
350,acquainted,4.53,2.3655,3
351,acquiesce,0.06,0.6021,3
352,acquiesced,0.1,0.7782,3
353,acquiescence,0.1,0.7782,4
354,acquiescing,0.04,0.4771,4
355,acquire,2.65,2.1335,3
356,acquired,4.47,2.3598,3
357,acquirer,0.02,0.301,4
358,acquires,0.16,0.9542,3
359,acquiring,0.84,1.6435,3
360,acquisition,1.45,1.8751,4
361,acquisitions,0.65,1.5315,4
