Word,Freq_Per_Mil1,Log_Freq_Per_Mil1,Word_Length,Word_Syll
3756,boat,95.78,3.689,4.0,1.0
3757,boaters,0.06,0.6021,7.0,2.0
3758,boathouse,0.76,1.6021,9.0,2.0
3759,boating,1.02,1.7243,7.0,2.0
3760,boatload,0.47,1.3979,8.0,2.0
3761,boats,11.75,2.7782,5.0,1.0
3762,boatyard,0.25,1.1461,8.0,2.0
3763,bobbin,0.14,0.9031,6.0,2.0
3764,bobbing,0.61,1.5051,7.0,2.0
3765,bobble,0.08,0.699,6.0,2.0
3766,bobbling,0.1,0.7782,8.0,2.0
3767,bobcat,0.39,1.3222,6.0,2.0
3768,bobsled,0.94,1.6902,7.0,2.0
3769,bocce,0.2,1.0414,5.0,2.0
3770,boche,0.18,1.0,5.0,1.0
3771,bode,0.47,1.3979,4.0,1.0
3772,bodega,1.31,1.8325,6.0,3.0
3773,bodegas,0.12,0.8451,7.0,3.0
3774,bodes,0.2,1.0414,5.0,1.0
3775,bodice,0.22,1.0792,6.0,2.0
3776,bodied,0.04,0.4771,6.0,2.0
3777,bodies,33.22,3.2292,6.0,2.0
3778,bodily,2.12,2.0374,6.0,3.0
3779,bodkin,0.1,0.7782,6.0,2.0
3780,bodkins,0.08,0.699,7.0,2.0
3781,body,195.53,3.9988,4.0,2.0
3782,bodyguard,5.73,2.4669,9.0,3.0
3783,bodyguards,2.43,2.0969,10.0,3.0
3784,boff,0.37,1.301,4.0,1.0
3785,boffo,0.14,0.9031,5.0,2.0
3786,bog,0.96,1.699,3.0,1.0
3787,bogeyman,0.86,1.6532,8.0,3.0
3788,bogeymen,0.12,0.8451,8.0,3.0
3789,bogged,0.47,1.3979,6.0,1.0
3790,bogging,0.04,0.4771,7.0,2.0
3791,boggled,0.04,0.4771,7.0,2.0
3792,boggles,0.22,1.0792,7.0,2.0
3793,boggling,0.02,0.301,8.0,3.0
3794,bogs,0.24,1.1139,4.0,1.0
3795,bogus,2.71,2.143,5.0,2.0
3796,boil,5.94,2.4829,4.0,1.0
3797,boiled,3.31,2.2304,6.0,1.0
3798,boiler,2.82,2.1614,6.0,2.0
3799,boilerplate,0.37,1.301,11.0,3.0
3800,boilers,0.29,1.2041,7.0,2.0
3801,boiling,4.22,2.3345,7.0,2.0
3802,boils,2.0,2.0128,5.0,1.0
3803,boisterous,0.24,1.1139,10.0,3.0
3804,bold,7.55,2.5866,4.0,1.0
3805,bolder,0.53,1.4472,6.0,2.0
3806,boldest,0.14,0.9031,7.0,2.0
3807,boldface,0.04,0.4771,8.0,2.0
3808,boldly,0.65,1.5315,6.0,2.0
3809,boldness,0.22,1.0792,8.0,2.0
3810,bologna,1.94,2.0,7.0,3.0
3811,bolster,0.31,1.2304,7.0,2.0
3812,bolstered,0.04,0.4771,9.0,2.0
3813,bolstering,0.02,0.301,10.0,3.0
3814,bolsters,0.04,0.4771,8.0,2.0
3815,bolt,6.88,2.5465,4.0,1.0
3816,bolted,1.9,1.9912,6.0,2.0
3817,bolting,0.16,0.9542,7.0,2.0
3818,bolts,2.18,2.0492,5.0,1.0
3819,bolus,0.67,1.5441,5.0,2.0
3820,bom,1.45,1.8751,3.0,1.0
3821,bomb,53.65,3.4373,4.0,1.0
3822,bombard,0.24,1.1139,7.0,2.0
3823,bombarded,0.57,1.4771,9.0,3.0
3824,bombardier,0.69,1.5563,10.0,3.0
3825,bombardiers,0.02,0.301,11.0,3.0
3826,bombarding,0.31,1.2304,10.0,3.0
3827,bombardment,0.84,1.6435,11.0,3.0
3828,bombardments,0.1,0.7782,12.0,3.0
3829,bombast,0.02,0.301,7.0,2.0
3830,bombastic,0.22,1.0792,9.0,3.0
3831,bombed,3.86,2.2967,6.0,1.0
3832,bomber,4.2,2.3324,6.0,2.0
3833,bombers,3.14,2.2068,7.0,2.0
3834,bombing,7.49,2.5832,7.0,2.0
3835,bombings,1.22,1.7993,8.0,2.0
3836,bombs,14.27,2.8627,5.0,1.0
3837,bombshell,0.9,1.6721,9.0,2.0
3838,bona,1.24,1.8062,4.0,2.0
3839,bondage,1.71,1.9445,7.0,2.0
3840,bonded,1.57,1.9085,6.0,2.0
3841,bonding,3.04,2.1931,7.0,2.0
3842,bonds,6.67,2.5328,5.0,1.0
3843,bone,26.06,3.1239,4.0,1.0
3844,boned,0.8,1.6232,5.0,1.0
3845,boneless,0.29,1.2041,8.0,2.0
3846,boner,2.33,2.0792,5.0,2.0
3847,bones,30.61,3.1937,5.0,1.0
3848,bonfire,1.75,1.9542,7.0,3.0
3849,bonfires,0.2,1.0414,8.0,3.0
3850,bong,2.78,2.1553,4.0,1.0
3851,bongos,0.31,1.2304,6.0,2.0
3852,bonier,0.06,0.6021,6.0,2.0
3853,boning,0.75,1.5911,6.0,2.0
3854,bonk,0.33,1.2553,4.0,1.0
3855,bonkers,1.12,1.7634,7.0,2.0
3856,bonnet,1.86,1.9823,6.0,2.0
3857,bonny,1.86,1.9823,5.0,2.0
3858,bono,2.04,2.0212,4.0,2.0
3859,bonsai,0.98,1.7076,6.0,2.0
3860,bonum,0.1,0.7782,5.0,2.0
3861,bonus,9.2,2.6721,5.0,2.0
3862,bonuses,0.71,1.5682,7.0,3.0
3863,bony,1.2,1.7924,4.0,2.0
3864,boob,3.0,2.1875,4.0,1.0
3865,boobs,7.33,2.574,5.0,1.0
3866,booby,2.53,2.1139,5.0,2.0
3867,boodle,0.45,1.3802,6.0,2.0
3868,booed,0.35,1.2788,5.0,1.0
3869,boogie,5.2,2.4249,6.0,2.0
3870,booing,1.0,1.716,6.0,2.0
3871,book,176.98,3.9555,4.0,1.0
3872,bookcase,0.94,1.6902,8.0,2.0
3873,bookcases,0.08,0.699,9.0,3.0
3874,booked,10.41,2.7259,6.0,1.0
3875,bookend,0.04,0.4771,7.0,2.0
3876,bookends,0.24,1.1139,8.0,2.0
3877,bookers,0.04,0.4771,7.0,2.0
3878,bookie,2.55,2.1173,6.0,2.0
3879,bookies,0.92,1.6812,7.0,2.0
3880,booking,2.27,2.0682,7.0,2.0
3881,bookings,0.41,1.3424,8.0,2.0
3882,bookish,0.18,1.0,7.0,2.0
3883,bookkeeper,1.27,1.8195,10.0,3.0
3884,bookkeepers,0.06,0.6021,11.0,3.0
3885,bookkeeping,0.75,1.5911,11.0,3.0
3886,booklet,0.55,1.4624,7.0,2.0
3887,booklets,0.33,1.2553,8.0,2.0
3888,bookmaker,0.47,1.3979,9.0,3.0
3889,bookmakers,0.06,0.6021,10.0,3.0
3890,bookmaking,0.2,1.0414,10.0,3.0
3891,bookmark,0.41,1.3424,8.0,2.0
3892,bookmarks,0.2,1.0414,9.0,2.0
3893,bookmobile,0.04,0.4771,10.0,3.0
3894,books,67.76,3.5387,5.0,1.0
3895,bookseller,0.1,0.7782,10.0,3.0
3896,booksellers,0.12,0.8451,11.0,3.0
3897,bookshelf,0.33,1.2553,9.0,2.0
3898,bookshelves,0.31,1.2304,11.0,2.0
3899,bookshop,0.8,1.6232,8.0,2.0
3900,bookshops,0.02,0.301,9.0,2.0
3901,bookstore,3.92,2.3032,9.0,2.0
3902,bookstores,0.49,1.415,10.0,2.0
3903,bookworm,0.73,1.5798,8.0,2.0
3904,boom,21.8,3.0465,4.0,1.0
3905,boombox,0.08,0.699,7.0,2.0
3906,boomed,0.02,0.301,6.0,1.0
3907,boomerang,0.92,1.6812,9.0,3.0
3908,boomers,0.12,0.8451,7.0,2.0
3909,booming,1.04,1.7324,7.0,2.0
3910,booms,0.22,1.0792,5.0,1.0
3911,boomtown,0.1,0.7782,8.0,2.0
3912,boondocks,0.37,1.301,9.0,2.0
3913,boondoggle,0.06,0.6021,10.0,3.0
3914,boor,0.06,0.6021,4.0,1.0
3915,boorish,0.35,1.2788,7.0,2.0
3916,boorishness,0.04,0.4771,11.0,3.0
3917,boors,0.12,0.8451,5.0,1.0
3918,boos,0.16,0.9542,4.0,1.0
3919,boost,4.51,2.3636,5.0,1.0
3920,boosted,0.63,1.5185,7.0,2.0
3921,booster,2.65,2.1335,7.0,2.0
3922,boosters,0.65,1.5315,8.0,2.0
3923,boosting,0.33,1.2553,8.0,2.0
3924,boosts,0.22,1.0792,6.0,1.0
3925,boot,11.14,2.7551,4.0,1.0
3926,booted,0.82,1.6335,6.0,2.0
3927,booth,20.37,3.017,5.0,1.0
3928,booths,1.12,1.7634,6.0,1.0
3929,bootie,0.16,0.9542,6.0,2.0
3930,booties,0.84,1.6435,7.0,2.0
3931,booting,0.18,1.0,7.0,2.0
3932,bootleg,0.82,1.6335,7.0,2.0
3933,bootlegger,0.65,1.5315,10.0,3.0
3934,bootleggers,0.31,1.2304,11.0,3.0
3935,bootlegging,0.31,1.2304,11.0,3.0
3936,bootlegs,0.1,0.7782,8.0,2.0
3937,boots,19.16,2.9903,5.0,1.0
3938,bootstraps,0.14,0.9031,10.0,2.0
3939,booty,6.14,2.4969,5.0,2.0
3940,booze,10.94,2.7474,5.0,1.0
3941,boozer,0.35,1.2788,6.0,2.0
3942,boozing,0.35,1.2788,7.0,2.0
3943,boozy,0.16,0.9542,5.0,2.0
3944,bop,1.84,1.9777,3.0,1.0
3945,boppers,0.22,1.0792,7.0,2.0
3946,borax,0.1,0.7782,5.0,2.0
3947,bordello,0.31,1.2304,8.0,3.0
3948,border,17.18,2.943,6.0,2.0
3949,bordered,0.08,0.699,8.0,2.0
3950,bordering,0.35,1.2788,9.0,3.0
3951,borderline,1.59,1.9138,10.0,3.0
3952,borders,2.8,2.1584,7.0,2.0
3953,bore,7.75,2.5977,4.0,1.0
3954,borealis,0.27,1.1761,8.0,4.0
3955,bored,20.18,3.0128,5.0,1.0
3956,boredom,2.14,2.0414,7.0,2.0
3957,borer,0.04,0.4771,5.0,2.0
3958,bores,0.8,1.6232,5.0,1.0
3959,boric,0.02,0.301,5.0,2.0
3960,boring,27.41,3.1458,6.0,2.0
3961,born,83.69,3.6303,4.0,1.0
3962,borne,1.02,1.7243,5.0,1.0
3963,boro,0.02,0.301,4.0,2.0
3964,borough,1.18,1.7853,7.0,2.0
3965,boroughs,0.27,1.1761,8.0,2.0
3966,borrow,29.31,3.1749,6.0,2.0
3967,borrowed,10.18,2.716,8.0,2.0
3968,borrower,0.08,0.699,8.0,3.0
3969,borrowers,0.04,0.4771,9.0,3.0
3970,borrowing,2.88,2.1703,9.0,3.0
3971,borrowings,0.04,0.4771,10.0,3.0
3972,borrows,0.49,1.415,7.0,2.0
3973,borsch,0.08,0.699,6.0,1.0
3974,borscht,0.69,1.5563,7.0,1.0
3975,bosom,3.12,2.2041,5.0,2.0
3976,boss,124.29,3.8021,4.0,1.0
3977,bossed,0.12,0.8451,6.0,1.0
3978,bosses,4.37,2.3502,6.0,2.0
3979,bossier,0.02,0.301,7.0,3.0
3980,bossy,1.75,1.9542,5.0,2.0
3981,botanical,1.04,1.7324,9.0,4.0
3982,botanically,0.04,0.4771,11.0,5.0
3983,botanist,0.27,1.1761,8.0,3.0
3984,botanists,0.12,0.8451,9.0,3.0
3985,botany,0.39,1.3222,6.0,3.0
3986,botch,0.31,1.2304,5.0,1.0
3987,botched,1.14,1.7709,7.0,1.0
3988,botfly,0.02,0.301,6.0,2.0
3989,both,295.33,4.1779,4.0,1.0
3990,bother,67.37,3.5362,6.0,2.0
3991,bothered,10.41,2.7259,8.0,2.0
3992,bothering,17.98,2.9628,9.0,3.0
3993,bothers,7.35,2.5752,7.0,2.0
3994,bothersome,0.31,1.2304,10.0,3.0
3995,bottle,50.75,3.4131,6.0,2.0
3996,bottled,2.61,2.1271,7.0,2.0
3997,bottlenecks,0.04,0.4771,11.0,3.0
3998,bottler,0.02,0.301,7.0,2.0
3999,bottlers,0.12,0.8451,8.0,2.0
4000,bottles,13.37,2.8344,7.0,2.0
4001,bottling,0.75,1.5911,8.0,3.0
4002,bottom,49.92,3.406,6.0,2.0
4003,bottomed,0.12,0.8451,8.0,2.0
4004,bottoming,0.12,0.8451,9.0,3.0
4005,bottomless,0.88,1.6628,10.0,3.0
4006,bottoms,3.59,2.2648,7.0,2.0
4007,botulism,0.55,1.4624,8.0,4.0
4008,boudin,0.02,0.301,6.0,2.0
4009,boudoir,0.88,1.6628,7.0,2.0
4010,bough,0.29,1.2041,5.0,1.0
4011,boughs,0.35,1.2788,6.0,1.0
4012,bought,85.53,3.6398,6.0,1.0
4013,bougie,0.02,0.301,6.0,2.0
4014,bouillon,0.14,0.9031,8.0,3.0
4015,boulders,0.45,1.3802,8.0,2.0
4016,boulevards,0.16,0.9542,10.0,3.0
4017,bounce,9.84,2.7016,6.0,1.0
4018,bounced,2.96,2.1818,7.0,1.0
4019,bouncer,1.59,1.9138,7.0,2.0
4020,bouncers,0.37,1.301,8.0,2.0
4021,bounces,0.88,1.6628,7.0,2.0
4022,bounciness,0.02,0.301,10.0,3.0
4023,bouncing,4.25,2.3385,8.0,2.0
4024,bouncy,1.78,1.9638,6.0,2.0
4025,bound,18.43,2.9736,5.0,1.0
4026,boundaries,3.71,2.2788,10.0,3.0
4027,boundary,1.35,1.8451,8.0,3.0
4028,bounded,0.18,1.0,7.0,2.0
4029,bounder,0.16,0.9542,7.0,2.0
4030,bounding,0.2,1.0414,8.0,2.0
4031,boundless,0.29,1.2041,9.0,2.0
4032,bounds,2.25,2.0645,6.0,1.0
4033,bounties,0.12,0.8451,8.0,2.0
4034,bountiful,0.76,1.6021,9.0,3.0
4035,bounty,7.18,2.5647,6.0,2.0
4036,bouquet,3.22,2.2175,7.0,2.0
4037,bouquets,0.59,1.4914,8.0,2.0
4038,bourbon,6.25,2.5051,7.0,2.0
4039,bourbons,0.12,0.8451,8.0,2.0
4040,bourgeois,1.18,1.7853,9.0,2.0
4041,bourgeoisie,0.29,1.2041,11.0,3.0
4042,bourn,0.04,0.4771,5.0,1.0
4043,bout,19.1,2.989,4.0,1.0
4044,boutique,1.08,1.7482,8.0,2.0
4045,boutiques,0.14,0.9031,9.0,2.0
4046,bouts,0.51,1.4314,5.0,1.0
4047,bove,0.02,0.301,4.0,1.0
4048,bovine,0.43,1.3617,6.0,2.0
4049,bow,20.27,3.0149,3.0,1.0
4050,bowed,0.8,1.6232,5.0,1.0
4051,bowel,3.59,2.2648,5.0,2.0
4052,bowels,1.71,1.9445,6.0,2.0
4053,bower,0.25,1.1461,5.0,2.0
4054,bowing,1.25,1.8129,6.0,2.0
4055,bowl,21.45,3.0394,4.0,1.0
4056,bowled,0.61,1.5051,6.0,1.0
4057,bowler,1.31,1.8325,6.0,2.0
4058,bowlers,0.18,1.0,7.0,2.0
4059,bowlin,0.02,0.301,6.0,2.0
4060,bowline,0.29,1.2041,7.0,2.0
4061,bowling,10.69,2.7372,7.0,2.0
4062,bowls,2.18,2.0492,5.0,1.0
4063,bowmen,0.18,1.0,6.0,2.0
4064,bows,1.75,1.9542,4.0,1.0
4065,box,89.75,3.6607,3.0,1.0
4066,boxcar,0.65,1.5315,6.0,2.0
4067,boxcars,0.16,0.9542,7.0,2.0
4068,boxed,1.31,1.8325,5.0,1.0
4069,boxer,3.84,2.2945,5.0,2.0
4070,boxers,1.98,2.0086,6.0,2.0
4071,boxes,15.69,2.9036,5.0,2.0
4072,boxing,7.25,2.5694,6.0,2.0
4073,boxy,0.18,1.0,4.0,2.0
4074,boy,529.82,4.4317,3.0,1.0
4075,boycott,0.96,1.699,7.0,2.0
4076,boycotted,0.14,0.9031,9.0,3.0
4077,boycotting,0.27,1.1761,10.0,3.0
4078,boycotts,0.08,0.699,8.0,2.0
4079,boyfriend,72.24,3.5664,9.0,2.0
4080,boyfriends,5.08,2.415,10.0,2.0
4081,boyhood,0.61,1.5051,7.0,2.0
4082,boyish,0.61,1.5051,6.0,2.0
4083,boys,224.16,4.0582,4.0,1.0
4084,bozo,2.47,2.1038,4.0,2.0
4085,bozos,0.98,1.7076,5.0,2.0
4086,bra,10.92,2.7466,3.0,1.0
4087,braced,0.27,1.1761,6.0,1.0
4088,bracelet,7.8,2.601,8.0,2.0
4089,bracelets,1.94,2.0,9.0,2.0
4090,bracer,0.1,0.7782,6.0,2.0
4091,bracero,0.2,1.0414,7.0,3.0
4092,braces,3.22,2.2175,6.0,2.0
4093,brach,0.04,0.4771,5.0,1.0
4094,bracing,0.45,1.3802,7.0,2.0
4095,bracket,0.63,1.5185,7.0,2.0
4096,brackets,0.22,1.0792,8.0,2.0
4097,brackish,0.08,0.699,8.0,2.0
4098,brae,0.08,0.699,4.0,1.0
4099,brag,3.51,2.2553,4.0,1.0
4100,braggadocio,0.06,0.6021,11.0,5.0
4101,bragged,0.59,1.4914,7.0,1.0
4102,bragger,0.02,0.301,7.0,2.0
4103,bragging,2.31,2.0755,8.0,2.0
4104,brags,0.33,1.2553,5.0,1.0
4105,braid,0.94,1.6902,5.0,1.0
4106,braided,0.35,1.2788,7.0,2.0
4107,braiding,0.1,0.7782,8.0,2.0
4108,braids,0.78,1.6128,6.0,1.0
4109,brain,77.02,3.5943,5.0,1.0
4110,brainchild,0.22,1.0792,10.0,2.0
4111,brained,0.04,0.4771,7.0,1.0
4112,brainer,0.04,0.4771,7.0,2.0
4113,brainless,0.88,1.6628,9.0,2.0
4114,brainpower,0.16,0.9542,10.0,3.0
4115,brains,27.47,3.1467,6.0,1.0
4116,brainstorm,0.78,1.6128,10.0,2.0
4117,brainstorming,0.39,1.3222,13.0,3.0
4118,brainstorms,0.02,0.301,11.0,2.0
4119,brainwash,0.43,1.3617,9.0,2.0
4120,brainwashed,1.67,1.9345,11.0,2.0
4121,brainwashes,0.02,0.301,11.0,3.0
4122,brainwashing,0.73,1.5798,12.0,3.0
4123,brainy,0.94,1.6902,6.0,2.0
4124,braised,0.22,1.0792,7.0,1.0
4125,brake,5.98,2.4857,5.0,1.0
4126,braked,0.02,0.301,6.0,1.0
4127,brakeman,0.1,0.7782,8.0,2.0
4128,brakemen,0.04,0.4771,8.0,2.0
4129,brakes,6.65,2.5315,6.0,1.0
4130,braking,0.45,1.3802,7.0,2.0
4131,bran,1.31,1.8325,4.0,1.0
4132,branch,10.08,2.7118,6.0,1.0
4133,branched,0.14,0.9031,8.0,1.0
4134,branches,3.33,2.233,8.0,2.0
4135,branching,0.29,1.2041,9.0,2.0
4136,brand,13.96,2.8531,5.0,1.0
4137,branded,1.55,1.9031,7.0,2.0
4138,branding,0.75,1.5911,8.0,2.0
4139,brandish,0.04,0.4771,8.0,2.0
4140,brandished,0.1,0.7782,10.0,2.0
4141,brandishing,0.22,1.0792,11.0,3.0
4142,brands,1.02,1.7243,6.0,1.0
4143,brandy,11.12,2.7543,6.0,2.0
4144,brank,0.02,0.301,5.0,1.0
4145,bras,1.61,1.9191,4.0,1.0
4146,brash,0.41,1.3424,5.0,1.0
4147,brashness,0.02,0.301,9.0,2.0
4148,brass,12.12,2.7917,5.0,1.0
4149,brasses,0.08,0.699,7.0,2.0
4150,brassy,0.12,0.8451,6.0,2.0
4151,brat,6.22,2.5024,4.0,1.0
4152,brats,1.47,1.8808,5.0,1.0
4153,bratwurst,0.47,1.3979,9.0,2.0
4154,bravado,0.47,1.3979,7.0,3.0
4155,brave,31.71,3.209,5.0,1.0
4156,braved,0.25,1.1461,6.0,1.0
4157,bravely,1.53,1.8976,7.0,2.0
4158,braver,1.14,1.7709,6.0,2.0
4159,bravery,2.88,2.1703,7.0,3.0
4160,braves,0.63,1.5185,6.0,1.0
4161,bravest,1.71,1.9445,7.0,2.0
4162,braving,0.16,0.9542,7.0,2.0
4163,brawl,2.12,2.0374,5.0,1.0
4164,brawling,0.55,1.4624,8.0,2.0
4165,brawls,0.18,1.0,6.0,1.0
4166,brawn,0.57,1.4771,5.0,1.0
4167,brawny,0.18,1.0,6.0,2.0
4168,brazen,1.18,1.7853,6.0,2.0
4169,brazenly,0.14,0.9031,8.0,3.0
4170,brazier,0.04,0.4771,7.0,3.0
4171,breach,6.22,2.5024,6.0,1.0
4172,breached,1.67,1.9345,8.0,1.0
4173,breaches,0.69,1.5563,8.0,2.0
4174,breaching,0.25,1.1461,9.0,2.0
4175,bread,28.33,3.1602,5.0,1.0
4176,breadbasket,0.2,1.0414,11.0,3.0
4177,breadbox,0.12,0.8451,8.0,2.0
4178,breaded,0.22,1.0792,7.0,2.0
4179,breadfruit,0.12,0.8451,10.0,2.0
4180,breading,0.04,0.4771,8.0,2.0
4181,breads,0.14,0.9031,6.0,1.0
4182,breadth,0.43,1.3617,7.0,1.0
4183,breadwinner,0.31,1.2304,11.0,3.0
4184,breadwinners,0.02,0.301,12.0,3.0
4185,break,221.08,4.0522,5.0,1.0
4186,breakable,0.16,0.9542,9.0,3.0
4187,breakage,0.22,1.0792,8.0,2.0
4188,breakaway,0.67,1.5441,9.0,3.0
4189,breakdown,7.31,2.5729,9.0,2.0
4190,breakdowns,0.47,1.3979,10.0,2.0
4191,breaker,2.29,2.0719,7.0,2.0
4192,breakers,1.65,1.9294,8.0,2.0
4193,breakfast,66.29,3.5292,9.0,2.0
4194,breakfasts,0.45,1.3802,10.0,2.0
4195,breaking,42.25,3.3336,8.0,2.0
4196,breakneck,0.1,0.7782,9.0,2.0
4197,breakout,0.31,1.2304,8.0,2.0
4198,breakouts,0.08,0.699,9.0,2.0
4199,breaks,18.82,2.9827,6.0,1.0
4200,breakthrough,3.43,2.2455,12.0,2.0
4201,breakthroughs,0.27,1.1761,13.0,2.0
4202,breakup,2.92,2.1761,7.0,2.0
4203,breakups,0.45,1.3802,8.0,2.0
4204,breakwater,0.1,0.7782,10.0,3.0
4205,breast,8.96,2.6609,6.0,1.0
4206,breasted,0.12,0.8451,8.0,2.0
4207,breastfed,0.04,0.4771,9.0,2.0
4208,breastfeed,0.18,1.0,10.0,2.0
4209,breastfeeding,0.25,1.1461,13.0,3.0
4210,breastplate,0.24,1.1139,11.0,2.0
4211,breasts,12.43,2.8028,7.0,1.0
4212,breath,44.92,3.3602,6.0,1.0
4213,breathe,48.51,3.3936,7.0,1.0
4214,breathed,1.39,1.8573,8.0,1.0
4215,breather,1.22,1.7993,8.0,2.0
4216,breathes,1.84,1.9777,8.0,1.0
4217,breathing,27.78,3.1517,9.0,2.0
4218,breathless,1.08,1.7482,10.0,2.0
4219,breathlessly,0.18,1.0,12.0,3.0
4220,breaths,3.1,2.2014,7.0,1.0
4221,breathtaking,1.24,1.8062,12.0,3.0
4222,breathtakingly,0.14,0.9031,14.0,4.0
4223,breathy,0.02,0.301,7.0,2.0
4224,bred,2.45,2.1004,4.0,1.0
4225,breech,0.69,1.5563,6.0,1.0
4226,breed,6.33,2.5105,5.0,1.0
4227,breeder,0.78,1.6128,7.0,2.0
4228,breeders,0.35,1.2788,8.0,2.0
4229,breeding,3.65,2.2718,8.0,2.0
4230,breeds,1.06,1.7404,6.0,1.0
4231,breeze,8.04,2.6138,6.0,1.0
4232,breezed,0.08,0.699,7.0,1.0
4233,breezes,0.84,1.6435,7.0,2.0
4234,breezeway,0.04,0.4771,9.0,2.0
4235,breezy,0.78,1.6128,6.0,2.0
4236,brethren,1.33,1.8388,8.0,2.0
4237,brevity,0.22,1.0792,7.0,3.0
4238,brew,2.51,2.1106,4.0,1.0
4239,brewed,0.43,1.3617,6.0,1.0
4240,brewery,1.8,1.9685,7.0,3.0
4241,brewing,0.94,1.6902,7.0,2.0
4242,brews,0.16,0.9542,5.0,1.0
4243,bribe,6.04,2.49,5.0,1.0
4244,bribed,1.92,1.9956,6.0,1.0
4245,bribery,1.35,1.8451,7.0,3.0
4246,bribes,1.43,1.8692,6.0,1.0
4247,bribing,0.59,1.4914,7.0,2.0
4248,brick,10.18,2.716,5.0,1.0
4249,brickbats,0.02,0.301,9.0,2.0
4250,bricklayer,0.2,1.0414,10.0,3.0
4251,bricklayers,0.04,0.4771,11.0,3.0
4252,bricks,3.92,2.3032,6.0,1.0
4253,brickyard,0.06,0.6021,9.0,2.0
4254,bridal,2.61,2.1271,6.0,2.0
4255,bride,24.22,3.092,5.0,1.0
4256,bridegroom,1.43,1.8692,10.0,2.0
4257,brides,0.92,1.6812,6.0,1.0
4258,bridesmaid,2.45,2.1004,10.0,2.0
4259,bridesmaids,1.57,1.9085,11.0,2.0
4260,bridge,45.71,3.3677,6.0,1.0
4261,bridged,0.08,0.699,7.0,1.0
4262,bridgehead,0.12,0.8451,10.0,2.0
4263,bridges,4.9,2.3997,7.0,2.0
4264,bridging,0.22,1.0792,8.0,2.0
4265,bridle,0.29,1.2041,6.0,2.0
4266,bridled,0.06,0.6021,7.0,2.0
4267,brief,14.35,2.8651,5.0,1.0
4268,briefcase,8.59,2.6425,9.0,2.0
4269,briefcases,0.29,1.2041,10.0,3.0
4270,briefed,1.94,2.0,7.0,1.0
4271,briefest,0.18,1.0,8.0,2.0
4272,briefing,4.57,2.3692,8.0,2.0
4273,briefings,0.37,1.301,9.0,2.0
4274,briefly,3.2,2.2148,7.0,2.0
4275,briefs,0.82,1.6335,6.0,1.0
4276,brig,3.04,2.1931,4.0,1.0
4277,brigade,3.2,2.2148,7.0,2.0
4278,bright,44.41,3.3553,6.0,1.0
4279,brighten,1.37,1.8513,8.0,2.0
4280,brightened,0.12,0.8451,10.0,2.0
4281,brightening,0.12,0.8451,11.0,3.0
4282,brightens,0.18,1.0,9.0,2.0
4283,brighter,2.94,2.179,8.0,2.0
4284,brightest,2.16,2.0453,9.0,2.0
4285,brightly,0.75,1.5911,8.0,2.0
4286,brightness,0.59,1.4914,10.0,2.0
4287,brilliance,1.47,1.8808,10.0,2.0
4288,brilliant,35.8,3.2617,9.0,2.0
4289,brilliantly,1.24,1.8062,11.0,3.0
4290,brim,0.88,1.6628,4.0,1.0
4291,brimming,0.35,1.2788,8.0,2.0
4292,brimstone,1.39,1.8573,9.0,2.0
4293,brindle,0.04,0.4771,7.0,2.0
4294,brine,0.31,1.2304,5.0,1.0
4295,bring,327.16,4.2224,5.0,1.0
4296,bringing,44.75,3.3585,8.0,2.0
4297,brings,35.12,3.2533,6.0,1.0
4298,brining,0.02,0.301,7.0,2.0
4299,brink,2.49,2.1072,5.0,1.0
4300,brinksmanship,0.02,0.301,13.0,3.0
4301,brio,0.02,0.301,4.0,2.0
4302,brioche,0.16,0.9542,7.0,2.0
4303,brisk,1.04,1.7324,5.0,1.0
4304,brisket,0.92,1.6812,7.0,2.0
4305,briskly,0.24,1.1139,7.0,2.0
4306,brisky,0.02,0.301,6.0,2.0
4307,bristle,0.22,1.0792,7.0,2.0
4308,bristled,0.02,0.301,8.0,2.0
4309,bristles,0.31,1.2304,8.0,2.0
4310,bristling,0.1,0.7782,9.0,3.0
4311,britches,1.53,1.8976,8.0,2.0
4312,brittle,1.39,1.8573,7.0,2.0
4313,bro,24.9,3.1041,3.0,1.0
4314,broach,0.45,1.3802,6.0,1.0
4315,broached,0.25,1.1461,8.0,1.0
4316,broaches,0.02,0.301,8.0,2.0
4317,broaching,0.02,0.301,9.0,2.0
4318,broad,14.73,2.8762,5.0,1.0
4319,broadband,0.31,1.2304,9.0,2.0
4320,broadcast,8.96,2.6609,9.0,2.0
4321,broadcaster,0.14,0.9031,11.0,3.0
4322,broadcasters,0.08,0.699,12.0,3.0
4323,broadcasting,3.2,2.2148,12.0,3.0
4324,broadcasts,0.55,1.4624,10.0,2.0
4325,broaden,0.98,1.7076,7.0,2.0
4326,broadened,0.12,0.8451,9.0,2.0
4327,broadening,0.22,1.0792,10.0,3.0
4328,broadens,0.1,0.7782,8.0,2.0
4329,broader,0.67,1.5441,7.0,2.0
4330,broadest,0.1,0.7782,8.0,2.0
4331,broadly,0.18,1.0,7.0,2.0
4332,broadside,0.45,1.3802,9.0,2.0
4333,broadsided,0.02,0.301,10.0,3.0
4334,brobdingnagian,0.04,0.4771,14.0,5.0
4335,brocade,0.1,0.7782,7.0,2.0
4336,brocades,0.02,0.301,8.0,2.0
